comment_counts,name,comment_value,since,sales,url,location
77,BjorgvinDesign,4.9796,2017,310,https://www.etsy.com/uk/shop/BjorgvinDesign,"Copenhagen, Denmark"
208,TheCurious13,4.9783,2013,794,https://www.etsy.com/uk/shop/TheCurious13,"Polk City, Florida"
375,TheCraftingTreee,4.9807,2016,1628,https://www.etsy.com/uk/shop/TheCraftingTreee,"Anna, Illinois"
2,LJsCrochet,5,2008,40,https://www.etsy.com/uk/shop/LJsCrochet,"Alexandria, Minnesota"
682,RAWRdesignsByC,4.9849,2016,3534,https://www.etsy.com/uk/shop/RAWRdesignsByC,"Los Angeles, California"
871,NorthernTrader,4.8916,2015,2778,https://www.etsy.com/uk/shop/NorthernTrader,
591,MasterArks,5,2013,1853,https://www.etsy.com/uk/shop/MasterArks,"Calgary, Canada"
2153,sparrowhawk9,4.9855,2008,7314,https://www.etsy.com/uk/shop/sparrowhawk9,"Cornish, Maine"
20,CityGo,4.95,2019,443,https://www.etsy.com/uk/shop/CityGo,
10,BlueberryPlatypusCo,5,2013,188,https://www.etsy.com/uk/shop/BlueberryPlatypusCo,"Minneapolis, Minnesota"
29,Severskyvitr,5,2018,84,https://www.etsy.com/uk/shop/Severskyvitr,"Liteň, Czechia"
385,PennyBlackDesigns,4.9603,2017,3008,https://www.etsy.com/uk/shop/PennyBlackDesigns,"Plymouth, United Kingdom"
75,MakeMeRoar,5,2008,224,https://www.etsy.com/uk/shop/MakeMeRoar,"Eastbourne, United Kingdom"
151,Showmore,4.947,2018,3700,https://www.etsy.com/uk/shop/Showmore,"New York, United States"
986,LittleLiaGraphic,5,2013,9621,https://www.etsy.com/uk/shop/LittleLiaGraphic,
462,KvenlandForgeworks,4.9522,2015,1927,https://www.etsy.com/uk/shop/KvenlandForgeworks,"Pirkkala, Finland"
190,AtelierBeeFree,4.8734,2010,979,https://www.etsy.com/uk/shop/AtelierBeeFree,"Mechelen, Belgium"
6,gdcdesigns,4.8333,2019,189,https://www.etsy.com/uk/shop/gdcdesigns,
21,ArtFromItaly,4.7273,2015,199,https://www.etsy.com/uk/shop/ArtFromItaly,"Somma Lombardo, Italy"
1904,GiftChaletAuburn,4.9731,2013,9903,https://www.etsy.com/uk/shop/GiftChaletAuburn,"Rochdale, Massachusetts"
3225,PeraPeris,4.9437,2013,12224,https://www.etsy.com/uk/shop/PeraPeris,"Dippoldiswalde, Germany"
8,Ginasvinylcreations,5,2018,97,https://www.etsy.com/uk/shop/Ginasvinylcreations,"Tiffin, Ohio"
11,SewaButtononaCowsEar,5,2018,59,https://www.etsy.com/uk/shop/SewaButtononaCowsEar,"Lafayette, Indiana"
2278,SycamoonJewellery,4.9512,2011,10379,https://www.etsy.com/uk/shop/SycamoonJewellery,"Sheffield, United Kingdom"
125,Warrior12Apparel,4.9579,2018,974,https://www.etsy.com/uk/shop/Warrior12Apparel,"St Louis, Missouri"
501,PandorasArt,5,2011,2203,https://www.etsy.com/uk/shop/PandorasArt,"San Diego, California"
38,BimJones,4.8,2012,202,https://www.etsy.com/uk/shop/BimJones,"Parkton, North Carolina"
