url,airline,rank,,
https://en.belavia.by/carriage_of_animals/,Belavia Airlines,,,
https://www.bhairlines.com,BH Airline,,,
https://www.bintercanarias.com/eng/information/pets,Binter Canarias,,,
https://www.blueairweb.com/en/gb/Pets/,Blue Air,,,
https://www.brusselsairlines.com/en-bf/practical-information/travel-info/before-the-flight/travelling-with-animals/default.aspx,Brussels Airlines,,,
https://www.air.bg/en/customer-support/your-baggage/,Bulgaria Air,,,
https://www.capeair.com/flying_with_us/traveling-with-pets.html,Cape Air,,,
https://www.cathaypacific.com/cx/en_US/travel-information/help-for-passengers/travelling-with-animals/overview.html,Cathay Pacific,,,
https://www.cebupacificair.com/en-mo/pages/plan-trip/Cargo/about-cebcargo,Cebu Pacific,,,
http://www.chalair.eu/index.php/en/en-informations/en-transport-des-animaux,Chalair Aviation,,,
https://www.cityjet.com/flying-with-us/faq/,CityJet,,,
https://cobalt.aero/content/carriage-animals,Cobalt Air,,,
https://www.condor.com/us/flight-preparation/baggage-and-animals/travelling-with-pets/pets-in-cabin.jsp,Condor,,,
https://www.copaair.com/en/web/us/pets,Copa Airlines,,,
https://www.corsair.fr/flight/services/flight-book/before-leaving/travelling-with-a-pet2,Corsair,,,
https://www.croatiaairlines.com/Travel-info/Special-passenger-categories/Animals,Croatia Airlines,,,
https://www.csa.cz/cz-en/travel-information/before-the-flight/travelling-with-animals/,Czech Airlines,,,
https://aviationcargo.dhl.com/aviationcargo/content/general-conditions-carriage,DHL Aviation,,,
https://www.easternairways.com/contact,Eastern Airways,,,
https://www.flyedelweiss.com/en/inform/services/transport-of-animals/pages/general-information.aspx,Edelweiss Air,,,
https://www.egyptair.com/en/fly/special-services/Pages/traveling-with-pets.aspx,Egyptair,,,
https://www.elal.com/en/PassengersInfo/Baggage/Pages/Pets.aspx,El Al Israel Airlines,,,
https://en.ellinair.com/article/pets,Ellinair,,,
http://www.enterair.pl/en/faq,Enter Air,,,
https://www.ethiopianairlines.com/AA/EN/information/special/travelling-with-pets,Ethiopian Airlines,,,
https://www.eurowings.com/en/information/services/help/topics/animals.html,Eurowings,,,
https://www.fijiairways.com/media/140014/105.pdf,Fiji Airways,,,
https://www.finnair.com/ee/gb/information-services/baggage/pets/flying-with-pet,Finnair,,,
https://www.flydubai.com/en/flying-with-us/baggage/special-baggage,Fly Dubai,,,
https://www.flybe.com/baggage/cargo/,flybe,,,
https://www.garuda-indonesia.com/files/pdf/kr/COC%20ENG.pdf,Garuda Indonesia,,,
https://www.flygermania.com/en/planning/family-travel/transportation-of-animals/,Germania,,,
https://www.voegol.com.br/en/information/travel-worry-free/traveling-with-pets,GOL Linhas Aereas,,,
https://www.gulfair.com/baggage/animals-on-board,Gulf Air,,,
https://www.helvetic.com/,Helvetic Airways,,,
https://www.hongkongairlines.com/en_AU/services/baggage/checkedbaggage,Hong Kong Airlines,,,
https://www.hop.com/en/services/travel-with-pets,Hop!,,,
http://www.alaskaair.com/as/www2/help/faqs/Traveling-With-Pets.asp,Horizon Air,,,
https://www.iberiaexpress.com/en/general-info/passenger-information/before-you-go/travelling-with-pets,Iberia Express,,,
https://www.icelandair.com/support/special-assistance/traveling-with-pets/,Iceland Air,,,
https://www.interjet.com/en-ca/all-about-baggage/traveling-with-pets,Interjet,,,
http://www.jet-time.dk/en/travelers/baggage/traveling-with-dogcat/,Jet Time,,,
https://www.jet2.com/faqs/travelling-with-children-and-animals#gsc.tab=0,Jet2,,,
https://www.jetstar.com/us/en/help/articles/can-my-pet-fly-with-jetstar,Jetstar,,,
https://www.kenya-airways.com/prepare-for-travel/baggage-information/pet-carriage/en/,Kenya Airways,,,
https://www.kuwaitairways.com/en/is/optional-service-fees,Kuwait Airways,,,
https://www.loganair.co.uk/travel-information/baggage/,Loganair,,,
http://www.lot.com/us/en/travelling-with-pets,LOT Polish Airlines,,,
