comment_counts,comment_value,location,record_date,record_time,sales,search_key,search_pages,shop_name,since,url
4180,4.9898,"Lake Lure, North Carolina",20190720,2019-07-20 15:47:19.396159,17049,viking,10,IslandTopCustomTags,2009,https://www.etsy.com/uk/shop/IslandTopCustomTags
469,4.9526,"Pirkkala, Finland",20190720,2019-07-20 15:47:19.553622,1940,viking,10,KvenlandForgeworks,2015,https://www.etsy.com/uk/shop/KvenlandForgeworks
76,5.0,"Eastbourne, United Kingdom",20190720,2019-07-20 15:47:19.604519,225,viking,10,MakeMeRoar,2008,https://www.etsy.com/uk/shop/MakeMeRoar
30,5.0,"San Diego, California",20190720,2019-07-20 15:47:19.710189,108,viking,10,GiggleGarb,2012,https://www.etsy.com/uk/shop/GiggleGarb
271,4.9536,"Birmingham, United Kingdom",20190720,2019-07-20 15:47:19.921270,2227,viking,10,AsteriaAccessories1,2018,https://www.etsy.com/uk/shop/AsteriaAccessories1
358,4.9272,"Ottawa, Canada",20190720,2019-07-20 15:47:19.970959,1971,viking,10,DangerpinsShop,2018,https://www.etsy.com/uk/shop/DangerpinsShop
10,5.0,"Palm Springs, California",20190720,2019-07-20 15:47:20.058670,47,viking,10,SkyJamesDesign,2017,https://www.etsy.com/uk/shop/SkyJamesDesign
375,4.9805,"Anna, Illinois",20190720,2019-07-20 15:47:20.248498,1635,viking,10,TheCraftingTreee,2016,https://www.etsy.com/uk/shop/TheCraftingTreee
1727,4.9639,"Sacramento, California",20190720,2019-07-20 15:47:20.349162,9038,viking,10,LykosLeather,2014,https://www.etsy.com/uk/shop/LykosLeather
319,4.9755,"Krosno, Poland",20190720,2019-07-20 15:47:20.521351,1004,viking,10,NuvaArt,2016,https://www.etsy.com/uk/shop/NuvaArt
377,4.9926,"Toronto, Canada",20190720,2019-07-20 15:47:20.562849,1788,viking,10,RiverdaleIronworks,2017,https://www.etsy.com/uk/shop/RiverdaleIronworks
14,5.0,"Bumpass, Virginia",20190720,2019-07-20 15:47:20.591881,60,viking,10,HollowingCreekForge,2016,https://www.etsy.com/uk/shop/HollowingCreekForge
27,4.7619,"Redding, California",20190720,2019-07-20 15:47:20.645495,97,viking,10,VikingBalms,2018,https://www.etsy.com/uk/shop/VikingBalms
7542,4.9823,"Eugene, Oregon",20190720,2019-07-20 15:47:20.860385,20655,viking,10,LittleDevilDesigns,2009,https://www.etsy.com/uk/shop/LittleDevilDesigns
688,4.9825,"Los Angeles, California",20190720,2019-07-20 15:47:20.952395,3560,viking,10,RAWRdesignsByC,2016,https://www.etsy.com/uk/shop/RAWRdesignsByC
145,4.9724,"Warsaw, Poland",20190720,2019-07-20 15:47:21.024288,486,viking,10,FenrirS,2018,https://www.etsy.com/uk/shop/FenrirS
2292,4.9096,"Anderson, Indiana",20190720,2019-07-20 15:47:21.225556,8111,viking,10,FolkOfTheWood,2011,https://www.etsy.com/uk/shop/FolkOfTheWood
114,4.9825,"Bonsall, California",20190720,2019-07-20 15:47:21.260483,529,viking,10,GetRideBells,2018,https://www.etsy.com/uk/shop/GetRideBells
740,4.9157,"Kharkiv, Ukraine",20190720,2019-07-20 15:47:21.302010,2725,viking,10,KharkivForge,2016,https://www.etsy.com/uk/shop/KharkivForge
158,4.9494,"New York, United States",20190720,2019-07-20 15:47:21.338274,3757,viking,10,Showmore,2018,https://www.etsy.com/uk/shop/Showmore
502,5.0,"San Diego, California",20190720,2019-07-20 15:47:21.595565,2210,viking,10,PandorasArt,2011,https://www.etsy.com/uk/shop/PandorasArt
528,4.9679,"Saskatoon, Canada",20190720,2019-07-20 15:47:21.633450,2445,viking,10,RagnarTheTrader,2014,https://www.etsy.com/uk/shop/RagnarTheTrader
126,4.9583,"St Louis, Missouri",20190720,2019-07-20 15:47:21.675018,991,viking,10,Warrior12Apparel,2018,https://www.etsy.com/uk/shop/Warrior12Apparel
4,5.0,"Frederick, Maryland",20190720,2019-07-20 15:47:21.884510,42,viking,10,FoxlairDesigns,2017,https://www.etsy.com/uk/shop/FoxlairDesigns
11,5.0,"Lafayette, Indiana",20190720,2019-07-20 15:47:21.948953,59,viking,10,SewaButtononaCowsEar,2018,https://www.etsy.com/uk/shop/SewaButtononaCowsEar
89,4.8148,"Ghaziabad, India",20190720,2019-07-20 15:47:22.108887,680,viking,10,theuncommongoods,2014,https://www.etsy.com/uk/shop/theuncommongoods
1034,4.9333,"El Paso, Texas",20190720,2019-07-20 15:47:22.262440,8790,viking,10,Stephyscrochet,2013,https://www.etsy.com/uk/shop/Stephyscrochet
3331,4.9396,"Kyiv, Ukraine",20190720,2019-07-20 15:47:22.352083,20072,viking,10,PAKABONE,2014,https://www.etsy.com/uk/shop/PAKABONE
9,5.0,"Leicester, United Kingdom",20190720,2019-07-20 15:47:22.499961,75,viking,10,VulturesNestAntiques,2017,https://www.etsy.com/uk/shop/VulturesNestAntiques
253,4.9434,"Melitopol, Ukraine",20190720,2019-07-20 15:47:22.562108,1340,viking,10,ArtefaktumUA,2016,https://www.etsy.com/uk/shop/ArtefaktumUA
16,4.9375,"Samut Sakhon, Thailand",20190720,2019-07-20 15:47:22.615539,100,viking,10,Aon18shop,2019,https://www.etsy.com/uk/shop/Aon18shop
1773,4.9908,"Trimdon, United Kingdom",20190720,2019-07-20 15:47:22.735749,17415,viking,10,WildchildDesigns77,2014,https://www.etsy.com/uk/shop/WildchildDesigns77
180,4.9398,"London, United Kingdom",20190720,2019-07-20 15:47:22.829001,714,viking,10,VeinaCrafts,2017,https://www.etsy.com/uk/shop/VeinaCrafts
1127,4.9583,"Spring Valley, California",20190720,2019-07-20 15:47:22.872806,3323,viking,10,Serrelynda,2009,https://www.etsy.com/uk/shop/Serrelynda
43,4.9643,"Saint Michael, Minnesota",20190720,2019-07-20 15:47:22.917950,366,viking,10,TonyAllenBernier,2015,https://www.etsy.com/uk/shop/TonyAllenBernier
448,4.9091,"Bossier City, Louisiana",20190720,2019-07-20 15:47:23.102033,4905,viking,10,KatelynsKreativeS,2011,https://www.etsy.com/uk/shop/KatelynsKreativeS
2497,4.9344,"Kelowna, Canada",20190720,2019-07-20 15:47:23.265576,13207,viking,10,TheDancingHound,2014,https://www.etsy.com/uk/shop/TheDancingHound
200,4.9066,"Hunedoara, Romania",20190720,2019-07-20 15:47:23.462681,1021,viking,10,HeavyMetalFantasyArt,2017,https://www.etsy.com/uk/shop/HeavyMetalFantasyArt
3,5.0,"San Antonio, Texas",20190720,2019-07-20 15:47:23.510824,38,viking,10,CartoArt,2017,https://www.etsy.com/uk/shop/CartoArt
1166,4.9242,"Warsaw, Poland",20190720,2019-07-20 15:47:23.624759,2897,viking,10,SlavMedievalShop,2013,https://www.etsy.com/uk/shop/SlavMedievalShop
33,4.9063,"Los Angeles, California",20190720,2019-07-20 15:47:24.025140,472,viking,10,usetheglass,2017,https://www.etsy.com/uk/shop/usetheglass
839,4.9312,"Kyiv, Ukraine",20190720,2019-07-20 15:47:24.074690,3384,viking,10,BerlogaWorkshop,2015,https://www.etsy.com/uk/shop/BerlogaWorkshop
490,4.9902,"Minneapolis, Minnesota",20190720,2019-07-20 15:47:24.148812,2455,viking,10,TuesdayBlueberries,2015,https://www.etsy.com/uk/shop/TuesdayBlueberries
25,4.8571,"Moscow, Russia",20190720,2019-07-20 15:47:24.238072,274,viking,10,nordwindrus,2018,https://www.etsy.com/uk/shop/nordwindrus
181,4.8261,"Roseburg, Oregon",20190720,2019-07-20 15:47:24.289969,678,viking,10,KarysLittleTreasures,2013,https://www.etsy.com/uk/shop/KarysLittleTreasures
54,5.0,"High Point, North Carolina",20190720,2019-07-20 15:47:24.335063,210,viking,10,EvergreenInstruments,2016,https://www.etsy.com/uk/shop/EvergreenInstruments
78,4.9831,"Reading, United Kingdom",20190720,2019-07-20 15:47:24.381251,430,viking,10,SkullVikings,2018,https://www.etsy.com/uk/shop/SkullVikings
113,4.9294,"Vilnius, Lithuania",20190720,2019-07-20 15:47:24.453859,459,viking,10,SagittariusCraft,2017,https://www.etsy.com/uk/shop/SagittariusCraft
3,5.0,"Dover, Delaware",20190720,2019-07-20 15:47:24.497257,19,viking,10,SoothieFruity,2019,https://www.etsy.com/uk/shop/SoothieFruity
39,4.9231,"Atlanta, Georgia",20190720,2019-07-20 15:47:24.984626,333,viking,10,TheHoneybirdCompany,2010,https://www.etsy.com/uk/shop/TheHoneybirdCompany
5,5.0,"Bristol, United Kingdom",20190720,2019-07-20 15:47:25.012726,11,viking,10,ArtifexArbor,2018,https://www.etsy.com/uk/shop/ArtifexArbor
2132,4.8685,"Johnstown, Ohio",20190720,2019-07-20 15:47:25.107437,7598,viking,10,HumphreysHandmade,2010,https://www.etsy.com/uk/shop/HumphreysHandmade
223,4.8879,"Westminster, Colorado",20190720,2019-07-20 15:47:25.154080,935,viking,10,MydnytBluBoho,2018,https://www.etsy.com/uk/shop/MydnytBluBoho
269,4.7706,"Saint-Félicien, Canada",20190720,2019-07-20 15:47:25.199409,1439,viking,10,CoeurdeMithril,2014,https://www.etsy.com/uk/shop/CoeurdeMithril
690,4.9214,"Cork, Ireland",20190720,2019-07-20 15:47:25.247631,2239,viking,10,NordEmporium,2014,https://www.etsy.com/uk/shop/NordEmporium
1,5.0,"Kirkintilloch, United Kingdom",20190720,2019-07-20 15:47:25.525838,2,viking,10,GearAndGraith,2018,https://www.etsy.com/uk/shop/GearAndGraith
460,4.8971,"Hot Springs National Park, Arkansas",20190720,2019-07-20 15:47:25.730211,1820,viking,10,BeastmanCaravan,2013,https://www.etsy.com/uk/shop/BeastmanCaravan
11,5.0,"Minneapolis, Minnesota",20190720,2019-07-20 15:47:25.771379,188,viking,10,BlueberryPlatypusCo,2013,https://www.etsy.com/uk/shop/BlueberryPlatypusCo
62,4.9667,"Lenzkirch, Germany",20190720,2019-07-20 15:47:25.812132,230,viking,10,Toraxacum,2016,https://www.etsy.com/uk/shop/Toraxacum
795,4.9523,"Ennis, Ireland",20190720,2019-07-20 15:47:25.846945,2721,viking,10,CELTICFUSIONDESIGN,2015,https://www.etsy.com/uk/shop/CELTICFUSIONDESIGN
84,5.0,"Kharkiv, Ukraine",20190720,2019-07-20 15:47:25.905578,1200,viking,10,HappyWatercolorShop,2017,https://www.etsy.com/uk/shop/HappyWatercolorShop
5,5.0,"Thunder Bay, Canada",20190720,2019-07-20 15:47:25.939293,23,viking,10,HighlandforgeStudio,2018,https://www.etsy.com/uk/shop/HighlandforgeStudio
234,4.9785,"Portland, Oregon",20190720,2019-07-20 15:47:25.996492,831,viking,10,ValkyrieBeardCare,2017,https://www.etsy.com/uk/shop/ValkyrieBeardCare
1,5.0,"Derby, United Kingdom",20190720,2019-07-20 15:47:26.190398,11,viking,10,MeepleForge,2018,https://www.etsy.com/uk/shop/MeepleForge
1848,4.8787,"San Francisco, California",20190720,2019-07-20 15:47:26.226586,12000,viking,10,PlaybookProducts,2013,https://www.etsy.com/uk/shop/PlaybookProducts
32,4.9063,"Salem, Massachusetts",20190720,2019-07-20 15:47:26.388853,157,viking,10,magicalcharmjewelry,2019,https://www.etsy.com/uk/shop/magicalcharmjewelry
324,4.8904,"Venice, Florida",20190720,2019-07-20 15:47:26.430131,1952,viking,10,FlaDecals,2016,https://www.etsy.com/uk/shop/FlaDecals
29,4.6087,"Papakura, New Zealand",20190720,2019-07-20 15:47:26.541809,158,viking,10,JohnLaurenceCrafted,2017,https://www.etsy.com/uk/shop/JohnLaurenceCrafted
593,4.8757,"Madrid, Spain",20190720,2019-07-20 15:47:26.604350,3220,viking,10,SanSanAtelier,2014,https://www.etsy.com/uk/shop/SanSanAtelier
5511,4.9468,"Dennis Port, Massachusetts",20190720,2019-07-20 15:47:26.761891,25609,viking,10,donebetter,2015,https://www.etsy.com/uk/shop/donebetter
3891,4.9203,"Paramus, New Jersey",20190720,2019-07-20 15:47:26.859824,21074,viking,10,PartyByDrake,2015,https://www.etsy.com/uk/shop/PartyByDrake
37,5.0,"Coos Bay, Oregon",20190720,2019-07-20 15:47:27.026134,123,viking,10,WallisReidJewelry,2014,https://www.etsy.com/uk/shop/WallisReidJewelry
21,5.0,"Germantown, Maryland",20190720,2019-07-20 15:47:27.173185,62,viking,10,RobotViking,2014,https://www.etsy.com/uk/shop/RobotViking
190,4.9778,"Kyiv, Ukraine",20190720,2019-07-20 15:47:27.220746,715,viking,10,ZxBx,2016,https://www.etsy.com/uk/shop/ZxBx
707,4.9358,"Tallinn, Estonia",20190720,2019-07-20 15:47:27.322618,4120,viking,10,Gudbrand,2014,https://www.etsy.com/uk/shop/Gudbrand
150,4.7059,"Lincoln, Nebraska",20190720,2019-07-20 15:47:27.425597,538,viking,10,VICTORYRUN,2013,https://www.etsy.com/uk/shop/VICTORYRUN
83,0.0,"Prior Lake, Minnesota",20190720,2019-07-20 15:47:27.475381,307,viking,10,GlorifiedColoring,2016,https://www.etsy.com/uk/shop/GlorifiedColoring
2286,4.9517,"Sheffield, United Kingdom",20190720,2019-07-20 15:47:27.585171,10446,viking,10,SycamoonJewellery,2011,https://www.etsy.com/uk/shop/SycamoonJewellery
