ab_people_rate,cn_count,cn_rate,crawled,fulltime_rate,spider,street_code,white_rate
0.34,2,0.007,,0.517,,rg20gp,0.549
0.374,,,,0.767,,rg20hs,0.709
0.103,,,,0.31,,rg20hr,0.58
0.098,8,0.025,,0.432,,rg20hy,0.702
0.202,2,0.006,,0.412,,rg20jb,0.638
0.148,2,0.005,,0.427,,rg20hd,0.592
0.149,,,,0.431,,rg20hu,0.698
0.103,,,,0.31,,rg20hw,0.58
0.202,2,0.006,,0.412,,rg20jg,0.638
0.202,2,0.006,,0.412,,rg20jf,0.638
0.225,1,0.003,,0.406,,rg20eh,0.633
0.374,,,,0.767,,rg20ft,0.709
0.246,2,0.007,,0.555,,rg20jl,0.627
0.19,6,0.02,,0.385,,rg20jj,0.816
0.19,6,0.02,,0.385,,rg20jd,0.816
0.14,3,0.01,,0.426,,rg20ja,0.732
0.246,2,0.007,,0.555,,rg20gz,0.627
0.103,,,,0.31,,rg20js,0.58
0.373,5,0.026,,0.795,,rg20gu,0.76
0.246,2,0.007,,0.555,,rg20gb,0.627
0.373,5,0.026,,0.795,,rg20fy,0.76
0.103,,,,0.31,,rg20jy,0.58
0.19,6,0.02,,0.385,,rg20jz,0.816
0.34,2,0.007,,0.517,,rg20jn,0.549
0.34,2,0.007,,0.517,,rg20jh,0.549
0.34,2,0.007,,0.517,,rg20jq,0.549
0.103,,,,0.31,,rg20lb,0.58
0.103,,,,0.31,,rg20ld,0.58
0.103,,,,0.31,,rg20jt,0.58
0.098,8,0.025,,0.432,,rg20lf,0.702
0.19,6,0.02,,0.385,,rg20le,0.816
0.103,,,,0.31,,rg20ll,0.58
0.159,,,,0.419,,rg20ln,0.636
0.098,8,0.025,,0.432,,rg20lg,0.702
0.103,,,,0.31,,rg20ju,0.58
0.34,2,0.007,,0.517,,rg20lq,0.549
0.103,,,,0.31,,rg20jx,0.58
0.103,,,,0.31,,rg20ls,0.58
0.159,,,,0.419,,rg20lw,0.636
0.149,,,,0.431,,rg20lx,0.698
0.34,2,0.007,,0.517,,rg20la,0.549
0.34,2,0.007,,0.517,,rg20lp,0.549
0.103,,,,0.31,,rg20hh,0.58
0.103,,,,0.31,,rg20lt,0.58
