,ab_people_rate,cn_count,cn_rate,crawled,fulltime_rate,spider,street_code,white_rate
69,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1fq,0.44799999999999995
70,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1fp,0.44799999999999995
71,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1fs,0.44799999999999995
72,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1et,0.44799999999999995
73,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1fu,0.44799999999999995
74,0.588,10.0,0.04,,0.629,,rg1 1ez,0.40700000000000003
75,0.588,10.0,0.04,,0.629,,rg1 1fj,0.40700000000000003
76,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1fy,0.44799999999999995
77,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1fr,0.44799999999999995
78,0.433,3.0,0.012,,0.544,,rg1 1fx,0.644
79,0.588,10.0,0.04,,0.629,,rg1 1ey,0.40700000000000003
80,0.433,3.0,0.012,,0.544,,rg1 1ga,0.644
81,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1gb,0.44799999999999995
82,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1ft,0.44799999999999995
83,0.433,3.0,0.012,,0.544,,rg1 1fw,0.644
84,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1gn,0.44799999999999995
85,0.433,3.0,0.012,,0.544,,rg1 1gl,0.644
86,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1gp,0.44799999999999995
87,0.433,3.0,0.012,,0.544,,rg1 1gh,0.644
88,0.514,5.0,0.013999999999999999,,0.385,,rg1 1gs,0.752
89,0.433,3.0,0.012,,0.544,,rg1 1gj,0.644
90,0.588,10.0,0.04,,0.629,,rg1 1ee,0.40700000000000003
91,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1gu,0.44799999999999995
92,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1gx,0.44799999999999995
93,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1eq,0.44799999999999995
94,0.588,10.0,0.04,,0.629,,rg1 1ge,0.40700000000000003
95,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1fn,0.44799999999999995
96,0.433,3.0,0.012,,0.544,,rg1 1gg,0.644
97,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1fh,0.44799999999999995
98,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1fe,0.44799999999999995
99,0.588,10.0,0.04,,0.629,,rg1 1er,0.40700000000000003
100,0.588,10.0,0.04,,0.629,,rg1 1hb,0.40700000000000003
101,0.588,10.0,0.04,,0.629,,rg1 1hh,0.40700000000000003
102,0.588,10.0,0.04,,0.629,,rg1 1hg,0.40700000000000003
103,0.433,3.0,0.012,,0.544,,rg1 1gt,0.644
104,0.39799999999999996,5.0,0.021,,0.652,,rg1 1hn,0.515
105,0.588,10.0,0.04,,0.629,,rg1 1hp,0.40700000000000003
106,0.433,3.0,0.012,,0.544,,rg1 1gz,0.644
107,0.514,5.0,0.013999999999999999,,0.385,,rg1 1gw,0.752
108,0.588,10.0,0.04,,0.629,,rg1 1hf,0.40700000000000003
109,0.514,5.0,0.013999999999999999,,0.385,,rg1 1ht,0.752
110,0.514,5.0,0.013999999999999999,,0.385,,rg1 1hu,0.752
111,0.514,5.0,0.013999999999999999,,0.385,,rg1 1he,0.752
112,0.514,5.0,0.013999999999999999,,0.385,,rg1 1hw,0.752
113,0.433,3.0,0.012,,0.544,,rg1 1hq,0.644
114,0.588,10.0,0.04,,0.629,,rg1 1hd,0.40700000000000003
115,0.514,5.0,0.013999999999999999,,0.385,,rg1 1hy,0.752
116,0.588,10.0,0.04,,0.629,,rg1 1hx,0.40700000000000003
117,0.514,5.0,0.013999999999999999,,0.385,,rg1 1hz,0.752
118,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1ja,0.44799999999999995
119,0.514,5.0,0.013999999999999999,,0.385,,rg1 1je,0.752
