ab_people_rate,cn_count,cn_rate,crawled,fulltime_rate,spider,street_code,white_rate
0.514,5,0.014,,0.385,,rg11ag,0.752
0.514,5,0.014,,0.385,,rg11aj,0.752
0.514,5,0.014,,0.385,,rg11ar,0.752
0.581,6,0.028,,0.702,,rg11as,0.448
0.588,10,0.04,,0.629,,rg11al,0.407
0.588,10,0.04,,0.629,,rg11an,0.407
0.433,3,0.012,,0.544,,rg11aa,0.644
0.514,5,0.014,,0.385,,rg11af,0.752
0.514,5,0.014,,0.385,,rg11aq,0.752
0.581,6,0.028,,0.702,,rg11ah,0.448
