ab_people_rate,cn_count,cn_rate,crawled,fulltime_rate,spider,street_code,white_rate
0.102,105,0.005,,0.377,,ol7,0.775
0.232,26,0.001,,0.356,,dl8,0.984
0.195,63,0.002,,0.389,,b79,0.978
0.057,279,0.006,,0.306,,l4,0.959
0.188,,,,0.399,,b22,0.947
0.248,665,0.008,,0.356,,ha3,0.35
0.571,117,0.022,,0.496,,w1g,0.767
0.203,1424,0.031,,0.256,,b29,0.747
0.209,984,0.015,,0.369,,se9,0.816
0.144,96,0.003,,0.405,,nr6,0.963
0.083,519,0.019,,0.179,,b6,0.185
0.459,342,0.013,,0.41,,n2,0.748
0.531,254,0.03,,0.481,,w1u,0.731
0.184,113,0.004,,0.398,,l62,0.981
0.184,76,0.003,,0.404,,wn1,0.959
0.355,63,0.153,,0.401,,m61,0.706
0.052,74,0.004,,0.312,,g15,0.956
0.11,369,0.01,,0.348,,l13,0.926
0.173,398,0.007,,0.442,,da1,0.853
0.34,16,0.002,,0.431,,pa6,0.974
0.181,806,0.016,,0.317,,n15,0.53
0.192,,,,0.414,,kw2,1.0
0.196,,,,0.296,,ld2,
0.123,86,0.002,,0.402,,bd6,0.838
0.082,80,0.002,,0.366,,g81,0.982
0.131,198,0.003,,0.373,,bb5,0.862
0.394,542,0.014,,0.387,,w11,0.667
0.25,18,0.002,,0.419,,da4,0.953
0.341,2630,0.142,,0.296,,m1,0.645
0.276,70,0.002,,0.382,,bb7,0.978
0.213,142,0.003,,0.405,,dl3,0.957
0.371,11,0.001,,0.34,,b95,0.981
0.123,114,0.003,,0.375,,bd2,0.706
0.248,154,0.005,,0.402,,b61,0.962
0.36,12,0.001,,0.314,,b48,0.938
0.259,47,0.002,,0.39,,dt1,0.967
0.349,61,0.003,,0.335,,l37,0.981
0.428,498,0.012,,0.393,,bs6,0.854
0.129,169,0.005,,0.387,,pl2,0.965
0.199,65,0.003,,0.342,,ca5,0.991
0.241,99,0.003,,0.345,,wr2,0.972
0.167,370,0.007,,0.375,,dn4,0.91
0.205,142,0.004,,0.456,,wf3,0.958
0.303,20,0.001,,0.312,,tr3,0.977
0.162,76,0.003,,0.411,,fk1,0.979
0.153,115,0.004,,0.398,,g73,0.971
0.209,120,0.002,,0.401,,de5,0.982
0.136,333,0.01,,0.405,,m23,0.856
0.355,833,0.014,,0.414,,ne3,0.884
0.141,109,0.003,,0.38,,b68,0.719
0.245,150,0.003,,0.397,,dy8,0.962
0.555,799,0.033,,0.425,,w8,0.741
0.122,31,0.001,,0.356,,dh5,0.987
0.322,865,0.021,,0.48,,sw8,0.597
0.16,42,0.004,,0.41,,hx5,0.934
0.251,100,0.006,,0.414,,ub9,0.854
0.282,125,0.004,,0.433,,wr5,0.909
0.393,22,0.003,,0.372,,wr7,0.981
0.256,484,0.009,,0.39,,m25,0.874
0.183,405,0.009,,0.358,,dd2,0.94
0.155,38,0.004,,0.334,,ct8,0.957
0.159,90,0.004,,0.357,,b38,0.867
0.174,94,0.003,,0.401,,dh2,0.985
0.139,173,0.004,,0.315,,bb9,0.655
0.26,226,0.011,,0.423,,eh5,0.936
0.222,200,0.006,,0.385,,pl3,0.96
0.201,38,0.001,,0.412,,pl7,0.984
0.291,41,0.002,,0.388,,dl2,0.979
0.281,88,0.008,,0.364,,tf6,0.95
0.236,50,0.002,,0.389,,dy6,0.971
0.184,213,0.005,,0.383,,wv4,0.641
0.398,283,0.127,,0.465,,m2,0.7
0.324,684,0.008,,0.406,,bn3,0.884
0.213,281,0.006,,0.44,,sg2,0.906
0.239,502,0.011,,0.363,,po4,0.876
0.203,1756,0.079,,0.19,,s1,0.663
0.18,,,,0.27,,ld8,
0.207,11,0.001,,0.319,,tr8,0.986
0.08,102,0.003,,0.175,,b10,0.126
0.3,266,0.017,,0.514,,mk7,0.814
0.223,102,0.002,,0.396,,s35,0.97
0.206,25,0.002,,0.358,,cm0,0.982
0.112,1170,0.033,,0.228,,cv1,0.53
0.234,240,0.005,,0.394,,s8,0.881
0.108,202,0.008,,0.414,,m43,0.936
0.449,388,0.013,,0.497,,n5,0.734
0.286,201,0.003,,0.459,,ox8,0.968
0.302,659,0.02,,0.415,,se4,0.549
0.302,148,0.011,,0.328,,ig4,0.282
0.389,2,0.01,,0.685,,l73,0.88
0.28,113,0.003,,0.436,,cb6,0.962
0.242,2,0.0,,0.364,,ln7,0.987
0.102,,,,0.336,,sa5,
0.271,61,0.003,,0.434,,wr3,0.958
0.2,,,,0.442,,fy0,0.947
0.195,43,0.001,,0.431,,cm8,0.959
0.162,167,0.004,,0.408,,m29,0.968
0.258,38,0.002,,0.378,,dn9,0.978
0.338,334,0.012,,0.385,,l17,0.89
0.266,263,0.008,,0.414,,bt4,0.963
0.186,92,0.002,,0.398,,dh7,0.985
0.222,933,0.023,,0.345,,ub8,0.638
0.404,11,0.001,,0.341,,cw6,0.987
0.259,130,0.004,,0.458,,cb7,0.956
0.258,4,0.002,,0.292,,ph6,0.986
0.216,,,,0.283,,dt8,0.992
0.269,59,0.002,,0.348,,fy6,0.983
0.124,95,0.003,,0.372,,s80,0.972
0.206,183,0.005,,0.405,,g66,0.982
0.218,63,0.002,,0.352,,dt3,0.984
0.156,111,0.003,,0.407,,bb8,0.965
0.285,40,0.001,,0.345,,yo6,0.988
0.287,78,0.002,,0.394,,cw8,0.98
0.251,312,0.004,,0.452,,rg3,0.828
0.245,66,0.003,,0.423,,hx6,0.973
0.285,429,0.006,,0.415,,yo2,0.966
0.144,,,,0.387,,sa6,
0.189,19,0.001,,0.401,,cv9,0.982
0.219,64,0.004,,0.415,,l22,0.969
0.22,203,0.003,,0.408,,le8,0.922
0.492,462,0.017,,0.42,,sw3,0.799
0.176,25,0.003,,0.391,,ka2,0.989
0.275,133,0.002,,0.397,,pr4,0.973
0.205,105,0.002,,0.424,,yo8,0.985
0.313,8,0.001,,0.316,,la8,0.99
0.452,90,0.003,,0.363,,rg9,0.956
0.213,99,0.009,,0.361,,ls4,0.781
0.111,454,0.005,,0.371,,le4,0.49
0.116,20,0.001,,0.348,,td9,0.991
0.251,42,0.002,,0.351,,ct3,0.968
0.277,141,0.006,,0.319,,dt9,0.976
0.096,52,0.002,,0.392,,ky4,0.986
0.233,64,0.002,,0.432,,sp2,0.963
0.376,330,0.007,,0.474,,sl4,0.875
0.219,72,0.002,,0.392,,l31,0.985
0.423,433,0.089,,0.516,,b3,0.578
0.165,420,0.013,,0.275,,m7,0.799
0.455,77,0.005,,0.368,,al6,0.936
0.312,1789,0.054,,0.207,,ne2,0.857
0.228,108,0.003,,0.426,,b97,0.92
0.447,121,0.004,,0.411,,hp4,0.957
0.292,89,0.003,,0.326,,l39,0.977
0.146,1,0.001,,0.405,,l72,0.979
0.129,106,0.002,,0.39,,wn2,0.977
0.124,431,0.005,,0.384,,cv6,0.675
0.169,157,0.004,,0.392,,ka3,0.984
0.235,208,0.007,,0.454,,rh6,0.925
0.294,61,0.003,,0.329,,ba5,0.982
0.23,5,0.001,,0.389,,iv7,0.992
0.336,447,0.009,,0.414,,br2,0.863
0.201,1,0.0,,0.378,,iv4,0.993
0.174,210,0.004,,0.352,,fy5,0.98
0.211,31,0.009,,0.392,,bt3,0.911
0.295,16,0.002,,0.458,,tf5,0.943
0.213,214,0.005,,0.454,,pe7,0.939
0.158,,,,0.47,,hs7,0.991
0.176,92,0.005,,0.381,,ws4,0.852
0.435,138,0.01,,0.38,,wd7,0.89
0.246,153,0.015,,0.457,,bh2,0.879
0.35,178,0.008,,0.416,,kt8,0.908
0.32,882,0.016,,0.433,,n4,0.641
0.255,1,0.0,,0.408,,ph8,0.988
0.284,168,0.003,,0.396,,cm3,0.97
0.267,,,,0.331,,np7,
0.335,429,0.007,,0.392,,sk8,0.868
0.248,1828,0.058,,0.396,,se8,0.452
0.246,32,0.001,,0.368,,pl9,0.985
0.446,103,0.021,,0.446,,w1k,0.673
0.143,,,,0.374,,cf8,
0.114,,,,0.258,,kw8,0.999
0.118,,,,0.284,,sa1,
0.183,210,0.006,,0.384,,tw5,0.236
0.183,121,0.004,,0.371,,l49,0.97
0.268,633,0.01,,0.392,,ox4,0.748
0.216,85,0.002,,0.435,,nn9,0.967
0.175,549,0.007,,0.402,,nn3,0.841
0.214,84,0.018,,0.376,,l70,0.895
0.164,211,0.004,,0.421,,ml3,0.977
0.109,175,0.005,,0.399,,sk5,0.94
0.157,913,0.013,,0.319,,ng8,0.722
0.254,643,0.008,,0.393,,yo3,0.952
0.226,870,0.035,,0.328,,eh8,0.885
0.141,35,0.001,,0.353,,s44,0.975
0.269,195,0.006,,0.386,,cv7,0.899
0.131,211,0.005,,0.379,,rm3,0.869
0.326,191,0.036,,0.545,,m50,0.79
0.225,231,0.006,,0.314,,ig3,0.237
0.314,179,0.004,,0.38,,gl7,0.975
0.083,50,0.002,,0.334,,b34,0.76
0.154,,,,0.378,,np4,
0.201,63,0.002,,0.406,,ln4,0.983
0.099,80,0.002,,0.367,,b71,0.71
0.289,14,0.001,,0.345,,dt2,0.987
0.166,8,0.0,,0.352,,ca6,0.991
0.194,1274,0.01,,0.437,,ab2,0.926
0.33,941,0.011,,0.423,,cr2,0.723
0.278,533,0.014,,0.316,,co7,0.942
0.312,1028,0.056,,0.343,,bs1,0.712
0.548,244,0.008,,0.474,,tw1,0.88
0.319,13,0.001,,0.326,,ta3,0.987
0.376,455,0.02,,0.361,,n20,0.723
0.245,,,,0.347,,cf1,
0.279,30,0.001,,0.357,,l40,0.982
0.319,365,0.026,,0.295,,fk9,0.941
0.125,34,0.001,,0.375,,s73,0.982
0.128,152,0.09,,0.012,,g80,0.771
0.14,84,0.003,,0.383,,ky1,0.974
0.211,264,0.005,,0.422,,m31,0.942
0.093,188,0.009,,0.319,,wv2,0.408
0.183,35,0.001,,0.409,,hr4,0.98
0.19,472,0.014,,0.363,,bh8,0.887
0.121,152,0.006,,0.361,,l46,0.976
0.116,66,0.005,,0.431,,sk1,0.945
0.153,39,0.001,,0.368,,hr2,0.984
0.347,97,0.005,,0.418,,pe8,0.97
0.262,209,0.004,,0.398,,le7,0.897
0.267,83,0.002,,0.424,,pr6,0.962
0.199,29,0.002,,0.293,,ct7,0.972
